Timestamp,Arbitration ID,Extended,RTR,DLC,Data
1754600323.0906553,0x162,False,False,1,80
1754600323.4570358,0x152,False,False,1,00
1754600323.4571316,0x26,False,False,2,35F4
1754600323.7180588,0x36,False,False,2,48C8
1754600324.1012993,0x162,False,False,1,80
1754600324.46846,0x152,False,False,1,00
1754600324.4685633,0x26,False,False,2,35F4
1754600324.7330894,0x36,False,False,2,48C8
1754600325.1154375,0x162,False,False,1,80
1754600325.4795752,0x152,False,False,1,00
1754600325.4796782,0x26,False,False,2,35F4
1754600325.7421434,0x36,False,False,2,48C8
1754600326.126715,0x162,False,False,1,80
1754600326.4792507,0x152,False,False,1,00
1754600326.479358,0x26,False,False,2,35F4
1754600326.7422514,0x36,False,False,2,48C8
1754600327.1272488,0x162,False,False,1,80
1754600327.4930103,0x152,False,False,1,00
1754600327.4931135,0x26,False,False,2,35F4
1754600327.7537172,0x36,False,False,2,48C8
1754600328.1353242,0x162,False,False,1,80
1754600328.5033722,0x152,False,False,1,00
1754600328.5034735,0x26,False,False,2,35F4
1754600328.7651007,0x36,False,False,2,48C8
1754600329.1447496,0x162,False,False,1,80
1754600329.5067642,0x152,False,False,1,00
1754600329.5068681,0x26,False,False,2,35F4
1754600329.7664638,0x36,False,False,2,48C8
1754600330.1524336,0x162,False,False,1,80
1754600330.5187454,0x152,False,False,1,00
1754600330.5188484,0x26,False,False,2,35F4
1754600330.7780564,0x36,False,False,2,48C8
1754600331.1641157,0x162,False,False,1,80
1754600331.519849,0x152,False,False,1,00
1754600331.5199528,0x26,False,False,2,35F4
1754600331.7802107,0x36,False,False,2,48C8
1754600332.1677234,0x162,False,False,1,80
1754600332.521799,0x152,False,False,1,00
1754600332.5219002,0x26,False,False,2,35F4
1754600332.7816672,0x36,False,False,2,48C8
1754600333.1799295,0x162,False,False,1,80
1754600333.5364845,0x152,False,False,1,00
1754600333.536555,0x26,False,False,2,35F4
1754600333.7859523,0x36,False,False,2,48C8
1754600334.1842737,0x162,False,False,1,80
1754600334.535359,0x152,False,False,1,00
1754600334.5354643,0x26,False,False,2,35F4
1754600334.7981176,0x36,False,False,2,48C8
1754600335.1967833,0x162,False,False,1,80
1754600335.5501983,0x152,False,False,1,00
1754600335.5503013,0x26,False,False,2,35F4
1754600335.8110595,0x36,False,False,2,48C8
1754600336.2143035,0x162,False,False,1,80
1754600336.5614884,0x152,False,False,1,00
1754600336.56159,0x26,False,False,2,35F4
1754600336.8236158,0x36,False,False,2,48C8
1754600337.2243183,0x162,False,False,1,80
1754600337.5623195,0x152,False,False,1,00
1754600337.5624225,0x26,False,False,2,35F4
1754600337.8385751,0x36,False,False,2,48C8
